Pressure_Pa,ADC_Reading
2.5,2608.0943262042074
7.5,2401.5725284374407
12.5,2175.807827716208
17.5,1970.3093752288828
22.5,1791.036772519066
27.5,1628.6826928945686
32.5,1481.966293506408
37.5,1339.0366658528642
42.5,1218.3325645094653
47.5,1107.2361116536454
52.5,1003.9317305344802
57.5,911.1709211633561
62.5,829.2523261491643
67.5,750.4938595420438
72.5,667.780556233724
77.5,590.0196079029757
82.5,540.6916654459635
87.5,492.43222101847334
92.5,427.1932086520726
97.5,395.1352561950683
102.5,340.4881949742636
107.5,323.7424244273794
112.5,278.82333335876467
117.5,261.09333225250253
122.5,234.47583255767822
127.5,221.24259223937992
132.5,197.54803915584796
137.5,181.32745101031136
142.5,174.15555529276529
147.5,155.20980381685146
152.5,142.35769210228554
157.5,119.76222216288248
162.5,114.7820511524494
167.5,99.7192306188437
172.5,97.71527731021246
177.5,70.06060578172857
182.5,83.93611102501549
187.5,81.7166669678688
192.5,59.30757608413696
197.5,49.42777797116174
202.5,63.82407443920772
207.5,48.227777767181394
212.5,45.80833316087723
217.5,29.7777777089013
222.5,36.95740725596746
227.5,37.078571360451846
232.5,44.091666704416276
237.5,29.33518517812093
242.5,44.08958333134652
247.5,58.34047610589435
