Pressure_Pa,ADC_Reading
2.5,2939.8413006583337
7.5,2678.8758844699983
12.5,2415.5158735452237
17.5,2174.92295495848
22.5,1977.693449101897
27.5,1832.2000460483064
32.5,1731.4790245319239
37.5,1630.1323129507218
42.5,1543.6480141977163
47.5,1463.8721803726685
52.5,1367.4915209089008
57.5,1271.4202557732078
62.5,1202.135364479242
67.5,1145.0599380493165
72.5,1079.2990811975992
77.5,1030.1429785477485
82.5,1000.3141921997071
87.5,969.3374994277957
92.5,949.4396443684896
97.5,927.1336297171458
102.5,906.5627997262136
107.5,896.2583355243389
112.5,875.4035
117.5,862.2407974243162
122.5,845.2474641219432
127.5,832.9050012207032
132.5,825.9865083240329
137.5,809.2409725613065
142.5,804.0561427066201
147.5,793.259869063528
152.5,791.7148142496744
157.5,781.2083316802978
162.5,778.6778602600098
167.5,782.1236949920653
172.5,770.3097200520832
177.5,765.4069449869792
182.5,760.3631418081433
187.5,760.5945537860578
192.5,754.5340301513673
197.5,751.2465947931462
202.5,746.0583396218041
207.5,752.0284769694011
212.5,749.1492442737926
217.5,746.0765158913352
222.5,738.8435574618254
227.5,744.5637493896486
232.5,744.5291653719815
237.5,742.5120368109809
242.5,750.3187515258788
247.5,761.5303908404182
