Pressure_Pa,ADC_Reading
2.5,2917.9059489343294
7.5,2812.241728835811
12.5,2686.290164013976
17.5,2530.8468549884733
22.5,2342.685263671875
27.5,2162.792202560623
32.5,2009.8469134990985
37.5,1843.0120702283127
42.5,1655.2588342285155
47.5,1532.8795689174103
52.5,1389.6207331959793
57.5,1288.6213249655332
62.5,1221.225245217716
67.5,1117.5399395120555
72.5,1049.935182924624
77.5,962.7894226074218
82.5,903.4593722025552
87.5,846.9057946246604
92.5,765.8230128696988
97.5,743.7106450398765
102.5,687.054165802002
107.5,654.5043868215462
112.5,583.8505216598511
117.5,576.3462970309788
122.5,571.2905568440757
127.5,515.2595251900809
132.5,478.22944539388016
137.5,488.9006963094075
142.5,436.55625025431317
147.5,434.89743687556347
152.5,399.10902913411456
157.5,405.4700012207032
162.5,396.3134622427134
167.5,326.3100009155274
172.5,346.40104312896733
177.5,306.7962115201083
182.5,287.42916742960614
187.5,309.99749969482417
192.5,335.69916671752924
197.5,283.80833238874163
202.5,275.20714089529855
207.5,279.16145648956297
212.5,333.394046674456
217.5,329.7281242370605
222.5,306.8416647774833
227.5,326.4392857142857
232.5,321.8472216288249
237.5,335.9119042532784
242.5,332.65952453613284
247.5,393.9172627040319
